[Mon Aug 12 14:47:56 YEKT 2024] igr0utka | Location: X: 1 Y: 120 Z: -106 | Line: 0 | Скайблок:
[Mon Aug 12 14:47:56 YEKT 2024] igr0utka | Location: X: 1 Y: 120 Z: -106 | Line: 1 | /is
[Mon Aug 12 14:47:56 YEKT 2024] igr0utka | Location: X: 1 Y: 120 Z: -106 | Line: 2 | 
[Mon Aug 12 14:47:56 YEKT 2024] igr0utka | Location: X: 1 Y: 120 Z: -106 | Line: 3 | 
[Mon Aug 12 14:48:15 YEKT 2024] igr0utka | Location: X: 0 Y: 120 Z: -107 | Line: 0 | Выживание:
[Mon Aug 12 14:48:15 YEKT 2024] igr0utka | Location: X: 0 Y: 120 Z: -107 | Line: 1 | /rtp
[Mon Aug 12 14:48:15 YEKT 2024] igr0utka | Location: X: 0 Y: 120 Z: -107 | Line: 2 | 
[Mon Aug 12 14:48:15 YEKT 2024] igr0utka | Location: X: 0 Y: 120 Z: -107 | Line: 3 | 
[Tue Aug 13 12:22:38 YEKT 2024] Gh0st152 | Location: X: 1 Y: 120 Z: -106 | Line: 0 | Скайблок:
[Tue Aug 13 12:22:38 YEKT 2024] Gh0st152 | Location: X: 1 Y: 120 Z: -106 | Line: 1 | /is
[Tue Aug 13 12:22:38 YEKT 2024] Gh0st152 | Location: X: 1 Y: 120 Z: -106 | Line: 2 | 
[Tue Aug 13 12:22:38 YEKT 2024] Gh0st152 | Location: X: 1 Y: 120 Z: -106 | Line: 3 | 
[Tue Aug 13 15:05:42 YEKT 2024] igr0utka | Location: X: 606 Y: 101 Z: -4 | Line: 0 | 
[Tue Aug 13 15:05:42 YEKT 2024] igr0utka | Location: X: 606 Y: 101 Z: -4 | Line: 1 | 
[Tue Aug 13 15:05:42 YEKT 2024] igr0utka | Location: X: 606 Y: 101 Z: -4 | Line: 2 | 
[Tue Aug 13 15:05:42 YEKT 2024] igr0utka | Location: X: 606 Y: 101 Z: -4 | Line: 3 | 
[Tue Aug 13 15:05:52 YEKT 2024] igr0utka | Location: X: 606 Y: 102 Z: -4 | Line: 0 | 
[Tue Aug 13 15:05:52 YEKT 2024] igr0utka | Location: X: 606 Y: 102 Z: -4 | Line: 1 | 
[Tue Aug 13 15:05:52 YEKT 2024] igr0utka | Location: X: 606 Y: 102 Z: -4 | Line: 2 | 
[Tue Aug 13 15:05:52 YEKT 2024] igr0utka | Location: X: 606 Y: 102 Z: -4 | Line: 3 | 
[Tue Aug 13 15:05:57 YEKT 2024] igr0utka | Location: X: 606 Y: 101 Z: -4 | Line: 0 | 
[Tue Aug 13 15:05:57 YEKT 2024] igr0utka | Location: X: 606 Y: 101 Z: -4 | Line: 1 | 
[Tue Aug 13 15:05:57 YEKT 2024] igr0utka | Location: X: 606 Y: 101 Z: -4 | Line: 2 | 
[Tue Aug 13 15:05:57 YEKT 2024] igr0utka | Location: X: 606 Y: 101 Z: -4 | Line: 3 | 
[Tue Aug 13 15:34:33 YEKT 2024] igr0utka | Location: X: 599 Y: 100 Z: -2 | Line: 0 | wwwwwwwwwwww
[Tue Aug 13 15:34:33 YEKT 2024] igr0utka | Location: X: 599 Y: 100 Z: -2 | Line: 1 | 
[Tue Aug 13 15:34:33 YEKT 2024] igr0utka | Location: X: 599 Y: 100 Z: -2 | Line: 2 | 
[Tue Aug 13 15:34:33 YEKT 2024] igr0utka | Location: X: 599 Y: 100 Z: -2 | Line: 3 | 
[Tue Aug 13 18:56:33 YEKT 2024] igr0utka | Location: X: 593 Y: 97 Z: 21 | Line: 0 | 
[Tue Aug 13 18:56:33 YEKT 2024] igr0utka | Location: X: 593 Y: 97 Z: 21 | Line: 1 | 
[Tue Aug 13 18:56:33 YEKT 2024] igr0utka | Location: X: 593 Y: 97 Z: 21 | Line: 2 | 
[Tue Aug 13 18:56:33 YEKT 2024] igr0utka | Location: X: 593 Y: 97 Z: 21 | Line: 3 | 
[Tue Aug 13 18:56:43 YEKT 2024] igr0utka | Location: X: 591 Y: 97 Z: 21 | Line: 0 | 
[Tue Aug 13 18:56:43 YEKT 2024] igr0utka | Location: X: 591 Y: 97 Z: 21 | Line: 1 | 
[Tue Aug 13 18:56:43 YEKT 2024] igr0utka | Location: X: 591 Y: 97 Z: 21 | Line: 2 | 
[Tue Aug 13 18:56:43 YEKT 2024] igr0utka | Location: X: 591 Y: 97 Z: 21 | Line: 3 | 
[Tue Aug 13 18:56:44 YEKT 2024] igr0utka | Location: X: 589 Y: 97 Z: 21 | Line: 0 | 
[Tue Aug 13 18:56:44 YEKT 2024] igr0utka | Location: X: 589 Y: 97 Z: 21 | Line: 1 | 
[Tue Aug 13 18:56:44 YEKT 2024] igr0utka | Location: X: 589 Y: 97 Z: 21 | Line: 2 | 
[Tue Aug 13 18:56:44 YEKT 2024] igr0utka | Location: X: 589 Y: 97 Z: 21 | Line: 3 | 
[Tue Aug 13 18:56:46 YEKT 2024] igr0utka | Location: X: 587 Y: 97 Z: 21 | Line: 0 | 
[Tue Aug 13 18:56:46 YEKT 2024] igr0utka | Location: X: 587 Y: 97 Z: 21 | Line: 1 | 
[Tue Aug 13 18:56:46 YEKT 2024] igr0utka | Location: X: 587 Y: 97 Z: 21 | Line: 2 | 
[Tue Aug 13 18:56:46 YEKT 2024] igr0utka | Location: X: 587 Y: 97 Z: 21 | Line: 3 | 
[Tue Aug 13 18:56:47 YEKT 2024] igr0utka | Location: X: 585 Y: 97 Z: 21 | Line: 0 | 
[Tue Aug 13 18:56:47 YEKT 2024] igr0utka | Location: X: 585 Y: 97 Z: 21 | Line: 1 | 
[Tue Aug 13 18:56:47 YEKT 2024] igr0utka | Location: X: 585 Y: 97 Z: 21 | Line: 2 | 
[Tue Aug 13 18:56:47 YEKT 2024] igr0utka | Location: X: 585 Y: 97 Z: 21 | Line: 3 | 
